time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-19 00:00:00+00:00,4.0,2.0,17,9
2025-02-20 00:00:00+00:00,4.0,2.0,23,11
2025-02-21 00:00:00+00:00,5.0,2.0,5,4
2025-02-22 00:00:00+00:00,1.0,1.0,11,6
2025-02-23 00:00:00+00:00,3.0,2.0,1,1
2025-02-24 00:00:00+00:00,1.0,1.0,2,2
2025-02-25 00:00:00+00:00,5.0,2.0,1,1
2025-02-26 00:00:00+00:00,3.0,2.0,6,3
2025-02-27 00:00:00+00:00,5.0,3.0,2,2
2025-02-28 00:00:00+00:00,1.0,1.0,9,7
2025-03-01 00:00:00+00:00,5.0,2.0,12,7
2025-03-02 00:00:00+00:00,4.0,2.0,30,4
2025-03-03 00:00:00+00:00,7.0,5.0,9,4
2025-03-04 00:00:00+00:00,,,8,8
